～が早（はや）いか | As soon as | ပြုလုပ်ပြီးပြီးချင်း
～や否（いな）や | No sooner than | ပြုလုပ်ပြီးပြီးချင်း
～なり | Right after | ပြုလုပ်ပြီးပြီးချင်း
～そばから | As soon as (repeatedly) | လုပ်ပြီးတိုင်း
～てからというもの | Ever since | ကတည်းက
～にあって | In the condition/situation of | အခြေအနေမှာ
～を皮切（かわき）りに | Starting with | အစပြုပြီး
～に至（いた）るまで | Up to; even to | အထိ
～を限（かぎ）りに | As the last time | အဆုံးသတ်အဖြစ်
～をもって | As of; by means of | မှစ၍ / ဖြင့်
～といったところだ | About; around | လောက်ပါပဲ
～をおいて | Other than; apart from | မှလွဲ၍
～ならでは | Unique to; only by | မှသာလျှင်
～にとどまらず | Not limited to | သာမက
～はおろか | Let alone; not to mention | ဆိုတာထက်
～もさることながら | Not only... but also | သာမက
～なり～なり | Or; such as | ဖြစ်ဖြစ်
～であれ～であれ | Whether... or... | ဖြစ်စေ
～といい～といい | Both... and... | လည်း
～といわず～といわず | Not just... but everywhere | မရွေး
～いかんだ | Depending on | အပေါ်မူတည်၍
～いかんにかかわらず | Regardless of | မရွေး
～をものともせずに | Defying; unbothered by | ဂရုမစိုက်ဘဲ
～をよそに | Ignoring; unmindful of | ဂရုမစိုက်ဘဲ
～ならいざしらず | It might be different if | ဆိုရင်တစ်မျိုးပေါ့
～んばかりに | As if about to | မတတ်
～とばかりに | As if to say | ဆိုသလို
～ともなく | Without any specific intention | ရည်ရွယ်ချက်မရှိဘဲ
～ながらに | While keeping the state | အတိုင်း
～きらいがある | Have a tendency to (negative) | လေ့ရှိတယ် (မကောင်းတာ)
～がてら | On the way; while at it | ရင်းနဲ့
～かたがた | While doing (formal) | ရင်းနဲ့ (တရားဝင်)
～かたわら | While; on the side | တစ်ဖက်မှာလည်း
～ところを | Despite the circumstance | အချိန်မှာ
～ものを | Even though; but | ပေမယ့်
～とはいえ | Although it is said that | ဆိုပေမယ့်
～といえども | Even if; even though | ဆိုသော်ငြားလည်း
～と思（おも）いきや | I thought... but | ထင်ထားပေမယ့်
～とあれば | If it is the case that | ဆိုရင်
